entity_id,legal_name,sf_account_id,sf_account_owner,sf_billing_country,sf_sector,chainalysis_client_status,abs_stage
9a985a26f25b,B2C2 Europe Sarl,,Jed Sibley,United Kingdom,Private,Active Customer,Active
523581f2c480,"SIA ""Paybis Europe""",,Richard Gannon,Latvia,Private,Active Customer,
ea1c51e7ed30,COINHOUSE SAS,,Chris Velez,United States,Private,Not in Salesforce,
047ae1280cda,Vermögensbutler GmbH,,Jed Sibley,United Kingdom,Private,Prospect,
dc43d89b4bf4,CHECKSIG S.R.L. SOCIETÀ BENEFIT,,,,,,
1bc38608a569,DESKOIN SAS,0015w00002RGzakAAD,Fabien Ribert,France,Private,In Salesforce (no type),
6c59c2006981,Belayer ООD,,,,,,
b1570be1c9e9,Virtu Financial Ireland Limited,0016Q00001bJ4pOQAS,Anson Yong,United States,Private,Customer (status unset),
160fd76c4800,BANCA SELLA,,Andrea Aymerich,Italy,Private,Prospect,Active
e846fec6aa78,Swissquote Bank Europe SA,001f200001fNXt3AAG,Richard Gannon,Luxembourg,Private,Active Customer,Active
e7590937b334,WHITE TECH Limited liability company for services,,Integration User,United States,Public,Not in Salesforce,
bf1a0ceda862,CIRCLE INTERNET FINANCIAL EUROPE SAS,001VM00000HQ8o9YAD,Fabien Ribert,,Private,In Salesforce (no type),
500635a3a9d7,Change Securities B.V.,001f200001fLHpaAAG,Richard Gannon,United States,Private,In Salesforce (no type),
99f8d1aedb24,Validvent Technology GmbH,,Chris Velez,United States,Private,Not in Salesforce,
80b8435b35aa,ELECTROCOIN Ltd for services,001f200001tYgdIAAS,Success Outreach Team,Croatia,Private,Active Customer,Active
2f27ee0f6b49,Northstake ApS,0016Q00001j3oJgQAI,Success Outreach Team,Denmark,Private,Customer (status unset),
127403c6b6ed,ClearBank Europe N.V.,0015w00002EjLzZAAV,Henry Fletcher,United Kingdom,Private,In Salesforce (no type),
2683d297ddf5,CAIXABANK S.A.,0015w00002TEcVCAA1,Christian Menda,Spain,Private,Active Customer,Active
04aa8572da91,KUTXABANK S.A.,0015w00002TGjJlAAL,Christian Menda,Spain,Private,Active Customer,Open
